time/fps,time/iterations,train/value_loss,train/learning_rate,time/total_timesteps,train/policy_loss,time/time_elapsed,train/n_updates,train/explained_variance,train/std,train/entropy_loss,train/reward
661,4100,0.020107384771108627,0.0007,20500,0.4914262294769287,30,4099,0.31269222497940063,1.2002038955688477,-15.999354362487793,0.021117868
661,4200,0.13935987651348114,0.0007,21000,-5.809634208679199,31,4199,-1.1920928955078125e-07,1.2037068605422974,-16.02691078186035,-0.3898703
661,4300,0.5949438810348511,0.0007,21500,-12.42957878112793,32,4299,-0.2849005460739136,1.2094520330429077,-16.074256896972656,0.080609426
662,4400,0.3631356656551361,0.0007,22000,6.899972438812256,33,4399,5.960464477539063e-08,1.2124874591827393,-16.09809112548828,0.79337126
662,4500,0.18879826366901398,0.0007,22500,3.048119068145752,33,4499,0.0,1.2138493061065674,-16.110109329223633,-0.21816
662,4600,1.7813994884490967,0.0007,23000,21.622995376586914,34,4599,-0.5176655054092407,1.2122652530670166,-16.094236373901367,0.2685469
662,4700,0.5326026082038879,0.0007,23500,-12.363536834716797,35,4699,-0.18600761890411377,1.2161552906036377,-16.135944366455078,0.12434604
662,4800,0.47660762071609497,0.0007,24000,-12.09895133972168,36,4799,-1.0728836059570312e-06,1.2204898595809937,-16.169403076171875,-0.10940887
662,4900,0.08625868707895279,0.0007,24500,-3.050626277923584,36,4899,0.0,1.2246448993682861,-16.202482223510742,0.020870173
662,5000,0.21881476044654846,0.0007,25000,5.900211811065674,37,4999,0.0,1.2243949174880981,-16.202495574951172,0.09266026
662,5100,1.1179653406143188,0.0007,25500,15.717508316040039,38,5099,-3.5762786865234375e-07,1.2259187698364258,-16.210773468017578,0.18292785
662,5200,3.3998725414276123,0.0007,26000,-5.324343681335449,39,5199,0.0,1.2260510921478271,-16.209014892578125,0.6151663
662,5300,0.030153339728713036,0.0007,26500,2.345892906188965,40,5299,-0.044765591621398926,1.2326682806015015,-16.265377044677734,-0.10467927
662,5400,0.317996621131897,0.0007,27000,-9.453215599060059,40,5399,0.0,1.2375092506408691,-16.301929473876953,0.20038421
662,5500,0.11030745506286621,0.0007,27500,-0.5030410885810852,41,5499,-0.10057437419891357,1.2430469989776611,-16.347780227661133,0.57283217
662,5600,0.25713104009628296,0.0007,28000,-7.149094581604004,42,5599,-0.15191996097564697,1.2545287609100342,-16.43858528137207,-0.17811672
662,5700,5.447314262390137,0.0007,28500,-37.517860412597656,42,5699,-0.22246134281158447,1.2559324502944946,-16.45195198059082,-1.0164349
662,5800,0.0624583475291729,0.0007,29000,-3.2493081092834473,43,5799,0.39269107580184937,1.2607653141021729,-16.486000061035156,-0.112461865
663,5900,0.03893810883164406,0.0007,29500,-1.2302995920181274,44,5899,-6.785256862640381,1.264126181602478,-16.51334571838379,0.037492618
663,6000,0.03925382345914841,0.0007,30000,0.7600458860397339,45,5999,-7.4521636962890625,1.2689762115478516,-16.55173683166504,-0.13540252
663,6100,0.14386534690856934,0.0007,30500,4.47583532333374,45,6099,0.19454365968704224,1.2784318923950195,-16.624784469604492,-0.25112346
663,6200,0.02735382691025734,0.0007,31000,-1.858472228050232,46,6199,2.86102294921875e-06,1.282724142074585,-16.658449172973633,-0.06616766
664,6300,0.563347339630127,0.0007,31500,9.252237319946289,47,6299,0.12919479608535767,1.2867034673690796,-16.689208984375,0.8229026
664,6400,0.035086844116449356,0.0007,32000,1.8018661737442017,48,6399,-0.8563953638076782,1.2900476455688477,-16.71469497680664,0.19939525
664,6500,0.14838427305221558,0.0007,32500,0.9857687950134277,48,6499,1.1920928955078125e-07,1.2947934865951538,-16.750606536865234,-0.47251508
664,6600,0.10175208747386932,0.0007,33000,-3.3153748512268066,49,6599,5.424022674560547e-06,1.3072278499603271,-16.844999313354492,-0.07499278
664,6700,4.188581943511963,0.0007,33500,-30.9251708984375,50,6699,0.04707998037338257,1.3186382055282593,-16.932931900024414,-0.83406997
664,6800,0.06566954404115677,0.0007,34000,-2.5957045555114746,51,6799,0.01556771993637085,1.3181272745132446,-16.928760528564453,0.10070819
664,6900,2.2034523487091064,0.0007,34500,-20.287017822265625,51,6899,0.0,1.3189170360565186,-16.93204116821289,-0.3009207
664,7000,0.021753881126642227,0.0007,35000,-1.1720988750457764,52,6999,-2.929999589920044,1.327081322669983,-16.997343063354492,-0.05519581
665,7100,0.01625717431306839,0.0007,35500,1.4981787204742432,53,7099,2.384185791015625e-07,1.3325121402740479,-17.03643798828125,0.047225844
665,7200,0.15991172194480896,0.0007,36000,-4.37816858291626,54,7199,0.0,1.34029221534729,-17.092205047607422,0.119871035
664,7300,0.17557641863822937,0.0007,36500,3.8421733379364014,54,7299,1.1920928955078125e-07,1.3497260808944702,-17.160974502563477,-0.02008877
664,7400,1.5836474895477295,0.0007,37000,19.535173416137695,55,7399,5.960464477539063e-08,1.352878212928772,-17.18566131591797,-0.7631022
664,7500,6.879082679748535,0.0007,37500,41.26691436767578,56,7499,0.0,1.3568412065505981,-17.214988708496094,-1.8207397
664,7600,0.08444967120885849,0.0007,38000,-4.847224235534668,57,7599,0.0,1.362484335899353,-17.25428009033203,0.08182301
665,7700,0.7043218016624451,0.0007,38500,-14.095744132995605,57,7699,-0.1272035837173462,1.3659069538116455,-17.27993392944336,0.022353167
665,7800,0.022627685219049454,0.0007,39000,-0.5495330691337585,58,7799,0.0,1.3682206869125366,-17.29246711730957,0.06459909
665,7900,0.8796218633651733,0.0007,39500,9.656007766723633,59,7899,0.1575818657875061,1.3742583990097046,-17.342222213745117,0.51318026
665,8000,1.2703096866607666,0.0007,40000,-13.530949592590332,60,7999,0.08339345455169678,1.3808521032333374,-17.38160514831543,-0.5717478
665,8100,17.2094783782959,0.0007,40500,78.74595642089844,60,8099,2.384185791015625e-07,1.3838188648223877,-17.400447845458984,1.2862499
665,8200,0.06978322565555573,0.0007,41000,3.867701292037964,61,8199,0.0,1.3889148235321045,-17.444992065429688,0.057933375
665,8300,0.06419552862644196,0.0007,41500,3.31858491897583,62,8299,0.0,1.3991776704788208,-17.51620864868164,-0.1391149
665,8400,0.26556795835494995,0.0007,42000,-8.542671203613281,63,8399,-1.1920928955078125e-07,1.4119106531143188,-17.603736877441406,-0.16431582
665,8500,1.060230016708374,0.0007,42500,-17.47798728942871,63,8499,-0.0796053409576416,1.4176383018493652,-17.64638328552246,-0.18925273
666,8600,6.563826560974121,0.0007,43000,45.90888595581055,64,8599,-0.07449185848236084,1.4211492538452148,-17.66547203063965,-2.213745
666,8700,0.021150624379515648,0.0007,43500,0.7700006365776062,65,8699,-0.005243778228759766,1.423472285270691,-17.683080673217773,0.009081278
666,8800,0.01615520566701889,0.0007,44000,-0.902592658996582,66,8799,-0.9660569429397583,1.4322389364242554,-17.744718551635742,0.06124253
665,8900,0.627721905708313,0.0007,44500,11.927044868469238,66,8899,0.22822505235671997,1.4320051670074463,-17.746870040893555,0.06211228
665,9000,0.1853088140487671,0.0007,45000,4.745986461639404,67,8999,-0.15183842182159424,1.4270355701446533,-17.711814880371094,-3.9359733e-05
666,9100,0.07655307650566101,0.0007,45500,-3.897075653076172,68,9099,5.960464477539063e-08,1.432507038116455,-17.74774169921875,0.042245455
666,9200,1.0143836736679077,0.0007,46000,-1.1265579462051392,69,9199,-1.1920928955078125e-07,1.4328755140304565,-17.745771408081055,0.9773231
666,9300,0.22852912545204163,0.0007,46500,5.210509777069092,69,9299,-1.1920928955078125e-07,1.4392261505126953,-17.794164657592773,0.26215622
665,9400,0.010273342952132225,0.0007,47000,-0.858607292175293,70,9399,0.0,1.4493987560272217,-17.85954475402832,-0.11460348
665,9500,0.008933447301387787,0.0007,47500,-1.2087903022766113,71,9499,1.1920928955078125e-07,1.4582818746566772,-17.914108276367188,0.7149031
665,9600,0.021455228328704834,0.0007,48000,-1.5929477214813232,72,9599,0.10019320249557495,1.4659467935562134,-17.970144271850586,-0.2271109
665,9700,0.057133983820676804,0.0007,48500,3.5279247760772705,72,9699,0.5895437300205231,1.4699245691299438,-17.9979248046875,0.06663412
665,9800,0.6992406249046326,0.0007,49000,9.512277603149414,73,9799,-0.14975714683532715,1.4720230102539062,-18.013212203979492,0.29916695
665,9900,0.07991883903741837,0.0007,49500,-3.3958535194396973,74,9899,-2.6347928047180176,1.4739205837249756,-18.023481369018555,0.03779164
665,10000,2.3313965797424316,0.0007,50000,-29.377262115478516,75,9999,0.7978544533252716,1.480393648147583,-18.06998062133789,-0.11270227
