time/fps,time/iterations,train/value_loss,train/learning_rate,time/total_timesteps,train/policy_loss,time/time_elapsed,train/n_updates,train/explained_variance,train/std,train/entropy_loss,train/reward
635,100,0.45363131165504456,0.0007,500,-8.778545379638672,0,99,-0.6665811538696289,1.0170509815216064,-14.361516952514648,0.012712663
624,200,0.022330425679683685,0.0007,1000,-0.34595972299575806,1,199,0.0,1.023785948753357,-14.420870780944824,-0.2572912
635,300,1.291614294052124,0.0007,1500,-15.519224166870117,2,299,0.0,1.0265114307403564,-14.447988510131836,0.6684591
643,400,0.5951053500175476,0.0007,2000,-3.4368481636047363,3,399,0.15175992250442505,1.030597448348999,-14.48845100402832,0.21674336
647,500,1.316123604774475,0.0007,2500,1.3722045421600342,3,499,0.0,1.0321097373962402,-14.502423286437988,-3.0906801
650,600,0.0813627690076828,0.0007,3000,3.616446018218994,4,599,0.4472219944000244,1.0309747457504272,-14.494081497192383,0.020356001
652,700,0.5529857277870178,0.0007,3500,-9.322489738464355,5,699,0.0,1.0398836135864258,-14.575483322143555,-0.41318318
647,800,0.013063348829746246,0.0007,4000,0.8174581527709961,6,799,0.0,1.0469825267791748,-14.643918991088867,0.16677712
644,900,0.10609426349401474,0.0007,4500,3.201615571975708,6,899,-1.1920928955078125e-07,1.0512129068374634,-14.686826705932617,-0.093654625
646,1000,0.6280871629714966,0.0007,5000,-10.590669631958008,7,999,0.0,1.0576798915863037,-14.744062423706055,-0.7757018
648,1100,0.39304718375205994,0.0007,5500,-6.7363152503967285,8,1099,0.0,1.057787537574768,-14.747530937194824,0.42875773
649,1200,0.10734239965677261,0.0007,6000,-4.4473347663879395,9,1199,0.40850329399108887,1.058915376663208,-14.757451057434082,0.010660156
650,1300,0.30486688017845154,0.0007,6500,6.619166374206543,9,1299,-1.1920928955078125e-07,1.0657035112380981,-14.820363998413086,-0.5022635
651,1400,0.0679473876953125,0.0007,7000,3.166470766067505,10,1399,0.0,1.0705844163894653,-14.860967636108398,0.13502106
652,1500,0.32707923650741577,0.0007,7500,7.490996360778809,11,1499,0.0,1.0731474161148071,-14.889421463012695,0.44945684
653,1600,0.1337939202785492,0.0007,8000,-4.605843544006348,12,1599,0.0,1.0785473585128784,-14.936233520507812,0.43970764
654,1700,0.6744247674942017,0.0007,8500,-9.609718322753906,12,1699,0.10802215337753296,1.081066370010376,-14.962664604187012,1.0148926
655,1800,0.005872488021850586,0.0007,9000,-0.7360270023345947,13,1799,-0.1448453664779663,1.0870378017425537,-15.00929069519043,0.367628
