,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,aapl,91.27999877929688,91.83999633789062,90.97750091552734,89.01939392089844,110737200.0,2.0,2.9849216953807485,91.78660610506051,79.39050723722465,62.80713272169798,107.50734647413789,29.730531783249663,83.10736033121745,76.9523401260376,28.6200008392334,16.85270232089183
0,2020-07-01,amzn,137.89950561523438,144.75,137.6999969482422,143.93499755859375,127268000.0,2.0,4.503504218339543,142.93701039602198,121.8372396344956,67.91097804164647,160.23349711528382,52.64571373650686,129.05663350423177,122.77706693013509,28.6200008392334,16.85270232089183
0,2020-07-01,cat,129.3800048828125,129.39999389648438,125.87999725341797,116.09518432617188,2807800.0,2.0,1.2245695941963959,125.6911979452851,109.07229463894342,52.865430871676516,35.79710804859295,14.4574043728471,114.90315755208333,109.35475667317708,28.6200008392334,16.85270232089183
0,2020-07-01,gs,198.8800048828125,199.74000549316406,195.52000427246094,181.267822265625,2620100.0,2.0,0.5684242964417479,204.22280159195554,171.92922324935307,50.962763167493506,-35.69551751189266,3.6210869345612906,185.09420928955078,174.06389897664388,28.6200008392334,16.85270232089183
0,2020-07-01,hd,249.64999389648438,250.3300018310547,246.92999267578125,228.23281860351562,3677300.0,2.0,2.1873973919319383,237.72113466176424,219.25406065073574,55.509699983749,20.613572186545376,8.254305556136103,227.2016606648763,212.88153152465821,28.6200008392334,16.85270232089183
0,2020-07-01,ibm,114.98088073730469,115.8986587524414,113.16443634033203,94.42754364013672,4869967.0,2.0,-1.0084636660702984,107.1232134063789,89.48427789611135,47.48970842826553,-74.24022714746096,5.476160686110956,98.34357477823893,96.94590975443522,28.6200008392334,16.85270232089183
0,2020-07-01,intc,59.90999984741211,60.029998779296875,58.7599983215332,52.972625732421875,14748100.0,2.0,-0.5195775571606447,58.07067804742263,50.885755058046115,48.71405810445459,-79.04201235073614,8.423667414942772,55.04763514200847,54.05457401275635,28.6200008392334,16.85270232089183
0,2020-07-01,msft,203.13999938964844,206.35000610351562,201.77000427246094,197.980224609375,32061200.0,2.0,4.883444263561046,200.25693949425053,176.06894551551508,61.18489546608512,140.8133140854352,33.01514568936887,184.5597401936849,177.30867385864258,28.6200008392334,16.85270232089183
0,2020-07-01,t,22.756797790527344,23.021148681640625,22.545316696166992,16.804649353027344,41007987.0,2.0,-0.12890349248730715,18.56425506373061,15.947097093862164,47.51643287460769,-51.080203816051245,0.8025043128059083,17.260078875223794,17.00240292549133,28.6200008392334,16.85270232089183
0,2020-07-01,v,193.85000610351562,195.35000610351562,192.66000366210938,188.721923828125,6394100.0,2.0,1.0182961028482396,195.78371264265314,182.45679486467105,53.31963058319472,-7.435727666766832,6.305181659435474,189.00890604654947,179.59190928141277,28.6200008392334,16.85270232089183
1,2020-07-02,aapl,91.9625015258789,92.61750030517578,90.91000366210938,89.01939392089844,114041600.0,3.0,2.9045599456342472,91.58574497977445,80.61306712349703,62.807132721697975,104.54875461888741,33.335608525380636,83.47310892740886,77.38173828125,27.68000030517578,1.515745084003159
1,2020-07-02,amzn,145.60049438476562,147.7779998779297,143.55499267578125,144.51499938964844,131868000.0,3.0,4.874284367703638,144.36887753605487,122.55387255549788,68.22799911238096,177.49725153304828,56.917344825378294,129.71056671142577,123.50931688944499,27.68000030517578,1.515745084003159
1,2020-07-02,cat,128.25,130.33999633789062,127.19000244140625,117.62396240234375,2527500.0,3.0,1.2952941445217334,125.60971040748142,109.03958616234281,53.81243378647088,50.57179947790865,16.8108104972179,115.27245966593425,109.46080665588379,27.68000030517578,1.515745084003159
